Date,Open,High,Low,Close,chance_price,percent_change,Volume
2022-06-21,32101.01,32779.88,31810.06,32004.02,-97,0,6800200
2022-06-20,33458.75,34137.63,32004.02,32004.02,-1455,-0.04,15194700
2022-06-17,33992.15,34331.59,32828.37,33458.75,-533,-0.02,6051700
2022-06-16,34816.5,35398.39,34525.55,34961.97,145,0,6101000
2022-06-15,34622.54,35058.95,33992.15,34622.54,0,0,5719100
2022-06-14,34234.61,35204.43,34137.63,34671.03,436,0.01,7850800
2022-06-13,35883.3,36125.75,34864.99,34913.48,-970,-0.03,6841200
2022-06-10,35883.3,37725.96,35834.81,36804.63,921,0.03,10962200
2022-06-09,36125.75,36416.7,35931.79,36271.23,145,0,5836000
2022-06-08,35204.43,36319.72,35058.95,36125.75,921,0.03,6456800
2022-06-07,34913.48,35107.44,33943.66,35107.44,194,0.01,8236800
2022-06-06,35349.9,35689.34,34913.48,34961.97,-388,-0.01,5845100
2022-06-03,35252.92,35737.83,34961.97,35349.9,97,0,3210200
2022-06-02,35786.32,35883.3,34913.48,35301.41,-485,-0.01,3715300
2022-06-01,35883.3,36562.17,35543.86,35737.83,-145,0,18368300
2022-05-31,36319.72,36465.19,36028.77,36028.77,-291,-0.01,5259800
2022-05-30,36853.12,36853.12,36319.72,36610.66,-242,-0.01,4922800
2022-05-27,35786.32,36319.72,35737.83,36319.72,533,0.01,6696600
2022-05-26,35592.35,36125.75,35446.88,35592.35,0,0,7421800
2022-05-25,34768.01,35543.86,34428.57,35398.39,630,0.02,6709700
2022-05-24,33749.7,34186.12,33361.77,34186.12,436,0.01,5466300
2022-05-23,34719.52,35107.44,33798.19,33798.19,-921,-0.03,9233800
2022-05-20,34719.52,35349.9,34283.1,34622.54,-97,0,6953200
2022-05-19,34331.59,35301.41,34137.63,34719.52,388,0.01,6977800
2022-05-18,34622.54,35786.32,34283.1,34961.97,339,0.01,10194300
2022-05-17,31616.1,33798.19,31567.61,33798.19,2182,0.07,14400800
2022-05-16,34040.64,34719.52,31616.1,31616.1,-2425,-0.07,13705600
2022-05-13,35204.43,35689.34,32779.88,32779.88,-2425,-0.07,17610500
2022-05-12,37822.94,37822.94,35204.43,35204.43,-2619,-0.07,10329300
2022-05-11,37822.94,38259.36,37289.54,37822.94,0,0,4631500
